Sarah Beattie-Smith	4993	SarahBS_27	130	14420
Iain McGill	524	IainMcGill	52	14420
Pramod Subbaraman	4823		90	14421
Ian Murray	1116	IanMurrayMP	53	14421
Miles Briggs	1646		52	14421
Gordon Lindhurst	5044		52	14422
Michael Stewart	5286	mstewart_23	102	14423
Cammy Day	4328	Cllrcammyday	53	14423
Mike Crockart	4496	CrockartMP	90	14423
Lindsay Paterson	748	LSPaterson	52	14423
Douglas Coker	4619		63	65570
Mrs Gonul Daniels	2017	GonulDaniels	2	65570
Neville Watson	5106		85	65570
Justin Madders	4329		53	65991
Katherine Fletcher	4762	Fletch_1976	52	65991
Trish Derraugh	4497		90	65991
Veronica King	4330	vron_king	53	65677
Alex Cunliffe	4917		90	65816
Clive Efford	4037		53	65816
Spencer Drury	2571		52	65816
Peter Whittle	4936	prwhittle	85	65816
Joan Ryan	2104	joanryanEnfield	53	66050
Nick de Bois	740		52	66050
David Flint	4618		63	66050
Deborah Cairns	4887		85	66050
Bambos Charlambous	4331		53	65567
David Schofield	4888		85	65567
Paul D Smith	2465		90	65567
Jean Robertson-Molloy	4617		63	65567
Gerard Mark Wadsworth	5395	Mark_Wadsworth	1912	66044
Anna Widdup	5218		63	66044
Gareth Barrett	4689	garethpbarrett	53	66044
Eleanor Laing	3755	EleanorLaingMP	52	66044
Stephen Gee	4498		90	65803
Nicholas Wood	5243		85	65803
Sheila Carlson	4332		53	65803
John Thomson	4682	JWZDT	2	65743
Catherine Atkinson	4333	catkinson80	53	65743
Maggie Throup	3437		52	65743
Anna Firth	5426	anna_firth	52	66023
Teresa Pearce	3749		53	66023
Ann Garrett	5214		63	66023
Ronie Johnson	5128		85	66023
Robert Leach	5242		85	66062
Dom Morris	4190		52	66033
Diana Moore	5142	DianaFMoore	63	66033
Ben Bradshaw	4027		53	66033
Alison Harris	5045		52	14424
Karen Whitefield	4334	Karen4Falkirk	53	14424
Don Jerrard	4853		85	65857
Stuart Rose	5416	StuartR4Fareham	53	65857
Miles Grindey	4642	milesgrindey	63	65857
Tim Valentine	1453	SwaleGreen	63	65764
Peter Edwards-Daem	5251		85	65764
Tony Firkins	4890	tfirkins	63	65655
Simon Nayyar	4891	SimonNayyar	52	65655
Seema Malhotra	4892	seemamalhotra1	53	65655
Tanya Jones	4674	decombustion	305	66130
Michelle Gildernew	2427	gildernewmp	39	66130
Tom Elliott	4933		83	66130
Ian Boulton	3163		53	65865
Diana Warner	5409		63	65865
Ben Walker	4863		85	65865
Adele Ward	4621	adeleward	63	65938
Sarah Sackman	4335	sarahsackman	53	65938
Lynne Beaumont	2677	lynnebeaumont	90	65779
Seth Cruse	5345		804	65779
Dr Rohen Kapur	5394	Dr_RohenKapur	1912	65779
Janice Atkinson	4858		85	65779
Claire Jeffrey	4835	MrsCJeffrey	53	65779
Martin Whybrow	5147	martinwhybrow	63	65779
Steve Stanbury	4945		85	66064
Steve Parry-Hearn	4336		53	66064
James Greenwood	3177		63	66064
Gearóid Ó hEára	4599		39	66131
Mark Durkan	2137		55	66131
Robert Dennett	5206		63	65955
Jed Sullivan	4337		53	65955
David Prescott	5135	davidprescott	53	65952
Anna Martin	5003		90	65900
William Ward 	4627		63	65900
John Tennant	3104		85	65870
Carolyn Abbott	4900		52	65551
Lee Waters	4902	leewatersukip	85	65551
Vernon Coaker	1272		53	65551
Jim Norris	4901		63	65551
Martin Cook	5250		85	65864
Jacqui Berry	5337		804	65864
Rehman Chishti	2225		52	65864
